"","name","code","lower","upper","all_cap","total"
"190","Portugal","PRT",0,0,0,0
"191","Puerto Rico","PRI",0,0,0,0
"192","Qatar","QAT",0,0,0,0
"193","Republic of Korea","KOR",0,0,0,0
"194","Republic of Moldova","MDA",0,0,0,0
"195","Republic of Vietnam",NA,0,0,0,0
"196","Reunion","REU",0,0,0,0
"197","Romania","ROU",0,0,0,0
"198","Russian Federation","RUS",0,0,0,0
"199","Rwanda","RWA",0,0,0,0
"200","Saint Barthelemy","BLM",0,0,0,0
"201","Saint Helena, Ascension and Tristan da Cunha","SHN",0,0,0,0
"202","Saint Kitts and Nevis","KNA",0,0,0,0
"203","Saint Lucia","LCA",0,0,0,0
"204","Saint Martin (French part)","MAF",0,0,0,0
"205","Saint Pierre and Miquelon","SPM",0,0,0,0
"206","Saint Vincent and the Grenadines","VCT",0,0,0,0
"207","Samoa","WSM",0,0,0,0
"208","San Marino","SMR",0,0,0,0
"209","Sao Tome and Principe","STP",0,0,0,0
"210","Saudi Arabia","SAU",0,0,0,0
"211","Saxony",NA,0,0,0,0
"212","Senegal","SEN",0,0,0,0
"213","Serbia","SRB",0,0,0,0
"214","Seychelles","SYC",0,0,0,0
"215","Sierra Leone","SLE",0,0,0,0
"216","Singapore","SGP",0,0,0,0
"217","Sint Maarten (Dutch part)","SXM",0,0,0,0
"218","Slovakia","SVK",0,0,0,0
"219","Slovenia","SVN",0,0,0,0
"220","Solomon Islands","SLB",0,0,0,0
"221","Somalia","SOM",0,0,0,0
"222","South Africa","ZAF",0,0,0,0
"223","South Georgia and the South Sandwich Islands","SGS",0,0,0,0
"224","South Sudan","SSD",0,0,0,0
"225","Spain","ESP",3,1,0,4
"226","Sri Lanka","LKA",0,0,0,0
"227","Sudan","SDN",0,0,0,0
"228","Suriname","SUR",0,0,0,0
"229","Svalbard and Jan Mayen","SJM",0,0,0,0
"230","Swaziland","SWZ",0,0,0,0
"231","Sweden","SWE",0,0,0,0
"232","Switzerland","CHE",0,0,0,0
"233","Syrian Arab Republic","SYR",0,0,0,0
"234","Taiwan, Province of China","TWN",0,0,0,0
"235","Tajikistan","TJK",0,0,0,0
"236","Thailand","THA",0,0,0,0
"237","The former Yugoslav Republic of Macedonia","MKD",0,0,0,0
"238","Timor-Leste","TLS",0,0,0,0
"239","Togo","TGO",0,0,0,0
"240","Tokelau","TKL",0,0,0,0
"241","Tonga","TON",0,0,0,0
"242","Trinidad and Tobago","TTO",0,0,0,0
"243","Tunisia","TUN",0,0,0,0
"244","Turkey","TUR",4,0,0,4
"245","Turkmenistan","TKM",0,0,0,0
"246","Turks and Caicos Islands","TCA",0,0,0,0
"247","Tuscany",NA,0,0,0,0
"248","Tuvalu","TUV",0,0,0,0
"249","Two Sicilies",NA,0,0,0,0
"250","Uganda","UGA",0,0,0,0
"251","Ukraine","UKR",0,1,0,1
"252","United Arab Emirates","ARE",0,0,0,0
"253","United Kingdom of Great Britain and Northern Ireland","GBR",0,0,0,0
"254","United Republic of Tanzania","TZA",0,0,0,0
"255","United States of America","USA",0,0,0,0
"256","United States Minor Outlying Islands","UMI",0,0,0,0
"257","Uruguay","URY",0,0,0,0
"258","Uzbekistan","UZB",0,0,0,0
"259","Vanuatu","VUT",0,0,0,0
"260","Venezuela, Bolivarian Republic of","VEN",0,0,0,0
"261","Viet Nam","VNM",0,0,0,0
"262","Virgin Islands, British","VGB",0,0,0,0
"263","Virgin Islands, U.S.","VIR",0,0,0,0
"264","Wallis and Futuna","WLF",0,0,0,0
"265","Western Sahara","ESH",0,0,0,0
"266","Wuerttemburg",NA,0,0,0,0
"267","Yemen","YEM",0,0,0,0
"268","Yemen Arab Republic",NA,0,0,0,0
"269","Yemen People's Republic","YMD",0,0,0,0
"270","Yugoslavia","YUG",0,0,0,0
"271","Zambia","ZMB",0,0,0,0
"272","Zanzibar","EAZ",0,0,0,0
"273","Zimbabwe","ZWE",0,0,0,0
